Source	Target
LDB1	CAMTA1
ATF2	CAMTA1
SPI1	CAMTA1
RAD21	CAMTA1
SMC1A	CAMTA1
CTCF	CAMTA1
MAF	CAMTA1
CEBPB	CAMTA1
SREBF2	CAMTA1
SP140	CAMTA1
SPI1	VAMP3
RAD21	VAMP3
SMC1A	VAMP3
CTCF	VAMP3
SREBF2	VAMP3
SP140	VAMP3
INTS13	VAMP3
SPI1	PER3
SREBF2	PER3
SP140	PER3
RAD21	PER3
CTCF	PER3
SMC1A	PER3
CEBPB	PER3
SREBF2	TNFRSF9
SPI1	TNFRSF9
SMC1A	TNFRSF9
RAD21	TNFRSF9
CTCF	TNFRSF9
CEBPB	TNFRSF9
MAF	TNFRSF9
SP140	TNFRSF9
SPI1	PARK7
SREBF2	PARK7
SMC1A	PARK7
LDB1	PARK7
SP140	PARK7
INTS13	PARK7
RAD21	PARK7
CREBBP	PARK7
ATF2	PARK7
EGR1	PARK7
CTCF	PARK7
NR3C1	PARK7
SPI1	RERE
SMC1A	RERE
SREBF2	RERE
CEBPB	RERE
RAD21	RERE
CTCF	RERE
MAF	RERE
ATF2	RERE
LDB1	RERE
SPI1	ENO1
SREBF2	ENO1
CEBPB	ENO1
CREBBP	ENO1
SPI1	SLC2A5
SMC1A	SLC2A5
MAF	SLC2A5
CEBPB	SLC2A5
SREBF2	SLC2A5
LDB1	SLC2A5
HIF1A	SLC2A5
EPAS1	SLC2A5
SREBF2	MIR34AHG
SPI1	MIR34AHG
SMC1A	MIR34AHG
CREBBP	MIR34AHG
RAD21	MIR34AHG
CTCF	MIR34AHG
LDB1	MIR34AHG
MAF	MIR34AHG
SPI1	H6PD
RAD21	H6PD
CREBBP	H6PD
CEBPB	H6PD
SMC1A	H6PD
CTCF	H6PD
INTS13	H6PD
SREBF2	H6PD
SPI1	SLC25A33
RAD21	SLC25A33
SMC1A	SLC25A33
CTCF	SLC25A33
SP140	SLC25A33
CEBPB	SLC25A33
MAF	SLC25A33
SREBF2	SLC25A33
LDB1	SLC25A33
INTS13	SLC25A33
SMC1A	PIK3CD
SPI1	PIK3CD
CTCF	PIK3CD
LDB1	PIK3CD
RAD21	PIK3CD
SREBF2	PIK3CD
CEBPB	PIK3CD
CREBBP	PIK3CD
INTS13	PIK3CD
MAF	PIK3CD
SPI1	CLSTN1
LDB1	CLSTN1
SMC1A	CLSTN1
MAF	CLSTN1
CEBPB	CLSTN1
SREBF2	CLSTN1
RAD21	CLSTN1
CTCF	CLSTN1
SP140	CLSTN1
RAD21	CTNNBIP1
SMC1A	CTNNBIP1
CTCF	CTNNBIP1
SPI1	CTNNBIP1
CEBPB	CTNNBIP1
MAF	CTNNBIP1
SREBF2	CTNNBIP1
INTS13	CTNNBIP1
LDB1	CTNNBIP1
EGR1	CTNNBIP1
SREBF2	LZIC
EGR1	LZIC
SPI1	LZIC
SMC1A	LZIC
SPI1	NMNAT1
SMC1A	NMNAT1
RAD21	NMNAT1
CTCF	NMNAT1
LDB1	NMNAT1
INTS13	NMNAT1
CEBPB	NMNAT1
SREBF2	NMNAT1
EGR1	NMNAT1
SPI1	UBE4B
CEBPB	UBE4B
NR3C1	UBE4B
SMC1A	UBE4B
RAD21	UBE4B
SREBF2	UBE4B
CTCF	UBE4B
ATF2	UBE4B
LDB1	UBE4B
INTS13	UBE4B
YY1	UBE4B
MAF	UBE4B
SPI1	KIF1B
CEBPB	KIF1B
RAD21	KIF1B
CTCF	KIF1B
SMC1A	KIF1B
LDB1	KIF1B
SREBF2	KIF1B
CREBBP	KIF1B
EGR1	KIF1B
ATF2	KIF1B
SPI1	PGD
SMC1A	PGD
RAD21	PGD
CTCF	PGD
LDB1	PGD
SREBF2	PGD
EGR1	PGD
CEBPB	PGD
ATF2	PGD
NR3C1	PGD
EGR2	PGD
CREBBP	PGD
SPI1	DFFA
SREBF2	DFFA
LDB1	DFFA
NR3C1	DFFA
EGR1	DFFA
EGR1	PEX14
SREBF2	PEX14
LDB1	PEX14
YY1	PEX14
INTS13	PEX14
CEBPB	PEX14
SPI1	PEX14
RAD21	PEX14
CTCF	PEX14
SMC1A	PEX14
MAF	PEX14
SP140	PEX14
SPI1	C1orf127
SMC1A	C1orf127
CEBPB	C1orf127
RAD21	C1orf127
CTCF	C1orf127
SREBF2	C1orf127
MAF	C1orf127
CEBPB	TARDBP
SREBF2	TARDBP
LDB1	TARDBP
EGR1	TARDBP
SPI1	TARDBP
YY1	TARDBP
SMC1A	TARDBP
SREBF2	SRM
LDB1	SRM
SPI1	SRM
EGR1	EXOSC10
INTS13	EXOSC10
LDB1	EXOSC10
ATF2	EXOSC10
RAD21	MTOR
SMC1A	MTOR
CTCF	MTOR
SREBF2	MTOR
SPI1	MTOR
LDB1	MTOR
EGR1	MTOR
MAF	MTOR
SREBF2	UBIAD1
INTS13	UBIAD1
YY1	UBIAD1
SPI1	UBIAD1
CEBPB	UBIAD1
RAD21	UBIAD1
SMC1A	UBIAD1
MAF	UBIAD1
CTCF	UBIAD1
SPI1	AGTRAP
SMC1A	AGTRAP
RAD21	AGTRAP
CTCF	AGTRAP
CEBPB	AGTRAP
LDB1	AGTRAP
ATF2	AGTRAP
SREBF2	AGTRAP
CREBBP	AGTRAP
EGR1	AGTRAP
CEBPB	MTHFR
SPI1	MTHFR
SREBF2	MTHFR
SREBF2	CLCN6
SPI1	CLCN6
LDB1	CLCN6
INTS13	CLCN6
ATF2	CLCN6
SMC1A	CLCN6
MAF	CLCN6
CEBPB	CLCN6
SPI1	KIAA2013
SREBF2	KIAA2013
HIF1A	KIAA2013
CEBPB	PLOD1
SREBF2	PLOD1
SPI1	PLOD1
INTS13	PLOD1
SMC1A	PLOD1
CEBPB	MFN2
SPI1	MFN2
SMC1A	MFN2
RAD21	MFN2
CTCF	MFN2
MAF	MFN2
SREBF2	MFN2
LDB1	MFN2
EGR1	MFN2
RAD21	MIIP
CTCF	MIIP
SMC1A	MIIP
SPI1	MIIP
SREBF2	MIIP
CREBBP	MIIP
LDB1	MIIP
ATF2	MIIP
CEBPB	MIIP
SPI1	TNFRSF1B
SREBF2	TNFRSF1B
SMC1A	TNFRSF1B
MAF	TNFRSF1B
CEBPB	TNFRSF1B
CEBPB	VPS13D
SMC1A	VPS13D
CTCF	VPS13D
SPI1	VPS13D
RAD21	VPS13D
MAF	VPS13D
LDB1	VPS13D
EPAS1	VPS13D
HIF1A	VPS13D
SREBF2	DHRS3
CEBPB	DHRS3
LDB1	DHRS3
SMC1A	DHRS3
SPI1	DHRS3
CTCF	DHRS3
RAD21	DHRS3
SP140	DHRS3
SPI1	PDPN
SMC1A	PDPN
CEBPB	PDPN
CTCF	PDPN
RAD21	PDPN
SREBF2	PDPN
CREBBP	PDPN
SPI1	PRDM2
CEBPB	PRDM2
SREBF2	PRDM2
NR3C1	PRDM2
RAD21	PRDM2
CTCF	PRDM2
SMC1A	PRDM2
INTS13	PRDM2
MAF	PRDM2
LDB1	PRDM2
SMC1A	TMEM51
RAD21	TMEM51
SREBF2	TMEM51
SPI1	TMEM51
CTCF	TMEM51
CEBPB	TMEM51
SMC1A	EFHD2
SPI1	EFHD2
SREBF2	EFHD2
INTS13	EFHD2
CEBPB	EFHD2
CREBBP	EFHD2
ATF2	DNAJC16
SPI1	DNAJC16
SREBF2	DNAJC16
LDB1	DNAJC16
CEBPB	DDI2
SREBF2	DDI2
ATF2	DDI2
SPI1	DDI2
INTS13	DDI2
LDB1	DDI2
SMC1A	DDI2
SPI1	PLEKHM2
SREBF2	PLEKHM2
SMC1A	PLEKHM2
MAF	PLEKHM2
CEBPB	PLEKHM2
CREBBP	PLEKHM2
LDB1	PLEKHM2
INTS13	PLEKHM2
SPI1	SLC25A34
CEBPB	SPEN
SREBF2	SPEN
SPI1	SPEN
YY1	SPEN
INTS13	SPEN
ATF2	SPEN
EGR1	SPEN
LDB1	SPEN
SMC1A	SPEN
CREBBP	SPEN
SPI1	ZBTB17
SMC1A	ZBTB17
RAD21	ZBTB17
SREBF2	ZBTB17
CEBPB	ZBTB17
CREBBP	ZBTB17
LDB1	ZBTB17
YY1	ZBTB17
ATF2	ZBTB17
INTS13	ZBTB17
CEBPB	FBXO42
SPI1	FBXO42
SREBF2	FBXO42
SMC1A	FBXO42
LDB1	FBXO42
MAF	FBXO42
CREBBP	FBXO42
INTS13	FBXO42
ATF2	FBXO42
SMC1A	SZRD1
RAD21	SZRD1
CEBPB	SZRD1
CTCF	SZRD1
SPI1	SZRD1
YY1	SZRD1
SREBF2	SZRD1
LDB1	SZRD1
EGR1	SZRD1
ATF2	SZRD1
SP140	SZRD1
SPI1	NECAP2
CREBBP	NECAP2
SREBF2	NECAP2
CEBPB	NECAP2
SMC1A	NECAP2
CTCF	NECAP2
RAD21	NECAP2
CEBPB	LINC01772
SMC1A	LINC01772
SPI1	NBPF1
SMC1A	NBPF1
CTCF	NBPF1
RAD21	NBPF1
SREBF2	NBPF1
LDB1	NBPF1
ATF2	NBPF1
SP140	NBPF1
CTCF	CROCC
SPI1	CROCC
SREBF2	CROCC
SP140	CROCC
ATF2	CROCC
SREBF2	ATP13A2
SPI1	ATP13A2
CEBPB	ATP13A2
SREBF2	SDHB
SPI1	SDHB
SMC1A	SDHB
RAD21	SDHB
CTCF	SDHB
CEBPB	SDHB
LDB1	SDHB
ATF2	SDHB
CREBBP	SDHB
MAF	SDHB
SMC1A	RCC2
RAD21	RCC2
CTCF	RCC2
SP140	RCC2
SPI1	RCC2
SREBF2	RCC2
LDB1	RCC2
INTS13	RCC2
CEBPB	RCC2
SPI1	ARHGEF10L
RAD21	ARHGEF10L
CTCF	ARHGEF10L
SMC1A	ARHGEF10L
SREBF2	ARHGEF10L
MAF	ARHGEF10L
CEBPB	ARHGEF10L
LDB1	ARHGEF10L
INTS13	ARHGEF10L
CREBBP	ARHGEF10L
ATF2	ARHGEF10L
EPAS1	ARHGEF10L
SREBF2	ALDH4A1
SPI1	ALDH4A1
CEBPB	ALDH4A1
INTS13	ALDH4A1
SMC1A	ALDH4A1
RAD21	ALDH4A1
CTCF	ALDH4A1
NR3C1	ALDH4A1
LDB1	ALDH4A1
SPI1	IFFO2
CEBPB	IFFO2
SREBF2	IFFO2
LDB1	IFFO2
SMC1A	IFFO2
MAF	IFFO2
CREBBP	IFFO2
SPI1	UBR4
RAD21	UBR4
SMC1A	UBR4
SP140	UBR4
LDB1	UBR4
CEBPB	UBR4
MAF	UBR4
SREBF2	UBR4
INTS13	UBR4
SREBF2	EMC1-AS1
SPI1	EMC1-AS1
ATF2	EMC1-AS1
CEBPB	EMC1-AS1
LDB1	EMC1-AS1
SPI1	EMC1
CEBPB	EMC1
RAD21	EMC1
CTCF	EMC1
SMC1A	EMC1
SREBF2	EMC1
SP140	MRTO4
SMC1A	MRTO4
SPI1	MRTO4
CEBPB	MRTO4
SREBF2	MRTO4
ATF2	AKR7A2
LDB1	AKR7A2
SREBF2	SLC66A1
SPI1	SLC66A1
CTCF	SLC66A1
RAD21	SLC66A1
SMC1A	SLC66A1
SP140	SLC66A1
CEBPB	SLC66A1
SPI1	CAPZB
CEBPB	CAPZB
SREBF2	CAPZB
SMC1A	CAPZB
NR3C1	CAPZB
CREBBP	CAPZB
MAF	CAPZB
INTS13	CAPZB
RAD21	CAPZB
CTCF	CAPZB
LDB1	CAPZB
SREBF2	MICOS10
SPI1	MICOS10
EGR1	MICOS10
LDB1	MICOS10
SPI1	NBL1
CEBPB	NBL1
SMC1A	NBL1
MAF	NBL1
RAD21	NBL1
CTCF	NBL1
SREBF2	NBL1
SPI1	TMCO4
RAD21	TMCO4
CTCF	TMCO4
SMC1A	TMCO4
CEBPB	TMCO4
SP140	TMCO4
SPI1	OTUD3
SMC1A	OTUD3
MAF	OTUD3
CTCF	OTUD3
SREBF2	OTUD3
RAD21	OTUD3
LDB1	OTUD3
ATF2	OTUD3
SP140	OTUD3
SREBF2	MUL1
SPI1	MUL1
ATF2	MUL1
LDB1	MUL1
SMC1A	MUL1
RAD21	MUL1
CTCF	MUL1
SPI1	CDA
RAD21	CDA
SMC1A	CDA
CTCF	CDA
SREBF2	CDA
INTS13	CDA
CEBPB	CDA
LDB1	CDA
SREBF2	PINK1
SPI1	PINK1
SMC1A	PINK1
RAD21	PINK1
CTCF	PINK1
ATF2	PINK1
SPI1	DDOST
SREBF2	DDOST
EGR1	DDOST
LDB1	DDOST
CEBPB	DDOST
CEBPB	HP1BP3
SREBF2	HP1BP3
SPI1	HP1BP3
ATF2	HP1BP3
EGR1	HP1BP3
SMC1A	HP1BP3
SP140	HP1BP3
NR3C1	HP1BP3
SPI1	EIF4G3
NR3C1	EIF4G3
CEBPB	EIF4G3
SREBF2	EIF4G3
EGR1	EIF4G3
SMC1A	EIF4G3
LDB1	EIF4G3
MAF	EIF4G3
RAD21	EIF4G3
CTCF	EIF4G3
SPI1	NBPF3
RAD21	NBPF3
SREBF2	NBPF3
LDB1	NBPF3
SMC1A	NBPF3
CTCF	NBPF3
MAF	USP48
SPI1	USP48
SREBF2	USP48
CEBPB	USP48
LDB1	USP48
SMC1A	USP48
CREBBP	USP48
RAD21	USP48
CTCF	USP48
NR3C1	USP48
SREBF2	CDC42
SPI1	CDC42
LDB1	CDC42
CEBPB	CDC42
ATF2	CDC42
SMC1A	CDC42
INTS13	CDC42
MAF	ZBTB40
CTCF	ZBTB40
RAD21	ZBTB40
SPI1	ZBTB40
SMC1A	ZBTB40
CEBPB	ZBTB40
SREBF2	ZBTB40
INTS13	ZBTB40
ATF2	ZBTB40
LDB1	ZBTB40
EGR1	ZBTB40
SP140	ZBTB40
SPI1	C1QA
SREBF2	C1QA
CEBPB	C1QA
LDB1	C1QA
RAD21	C1QC
SMC1A	C1QC
CTCF	C1QC
SPI1	C1QC
CEBPB	C1QC
SREBF2	C1QC
SPI1	C1QB
SREBF2	C1QB
EGR1	C1QB
NR3C1	C1QB
SMC1A	C1QB
MAF	C1QB
RAD21	C1QB
CTCF	C1QB
SMC1A	EPHB2
SPI1	EPHB2
RAD21	EPHB2
CTCF	EPHB2
SREBF2	EPHB2
CEBPB	EPHB2
SREBF2	KDM1A
SPI1	KDM1A
RAD21	KDM1A
SMC1A	KDM1A
LDB1	KDM1A
CTCF	KDM1A
ATF2	KDM1A
SPI1	LUZP1
SREBF2	LUZP1
CEBPB	LUZP1
MAF	LUZP1
SMC1A	LUZP1
SP140	LUZP1
INTS13	LUZP1
RAD21	LUZP1
CTCF	LUZP1
LDB1	LUZP1
CEBPB	HNRNPR
SREBF2	HNRNPR
SPI1	HNRNPR
EGR1	HNRNPR
LDB1	HNRNPR
INTS13	HNRNPR
SREBF2	ID3
SPI1	ID3
LDB1	ID3
EGR1	ID3
CEBPB	ID3
SMC1A	ID3
SPI1	RPL11
RAD21	RPL11
CTCF	RPL11
MAF	RPL11
SMC1A	RPL11
LDB1	RPL11
SREBF2	RPL11
CREBBP	RPL11
YY1	RPL11
CEBPB	RPL11
SMC1A	ELOA-AS1
RAD21	ELOA-AS1
CTCF	ELOA-AS1
SPI1	ELOA-AS1
SREBF2	ELOA-AS1
SMC1A	ELOA
CTCF	ELOA
SREBF2	ELOA
SPI1	ELOA
CEBPB	ELOA
LDB1	ELOA
INTS13	ELOA
RAD21	ELOA
ATF2	PITHD1
SREBF2	PITHD1
SP140	PITHD1
SMC1A	PITHD1
INTS13	PITHD1
SPI1	LYPLA2
SMC1A	LYPLA2
CEBPB	LYPLA2
SREBF2	LYPLA2
LDB1	LYPLA2
INTS13	LYPLA2
SPI1	GALE
SREBF2	GALE
ATF2	GALE
LDB1	GALE
CREBBP	GALE
CEBPB	GALE
RAD21	GALE
SMC1A	GALE
CTCF	GALE
SREBF2	HMGCL
SPI1	HMGCL
CREBBP	HMGCL
INTS13	HMGCL
LDB1	HMGCL
RAD21	HMGCL
SMC1A	HMGCL
CEBPB	HMGCL
CEBPB	FUCA1
MAF	FUCA1
SMC1A	FUCA1
SPI1	FUCA1
RAD21	FUCA1
LDB1	FUCA1
SREBF2	FUCA1
CTCF	FUCA1
SPI1	PNRC2
CTCF	PNRC2
SMC1A	PNRC2
RAD21	PNRC2
SREBF2	PNRC2
CEBPB	PNRC2
EGR1	PNRC2
YY1	PNRC2
CEBPB	SRSF10
SREBF2	SRSF10
INTS13	SRSF10
EGR1	SRSF10
SMC1A	SRSF10
ATF2	SRSF10
SPI1	SRSF10
LDB1	SRSF10
MAF	SRSF10
RAD21	SRSF10
CTCF	SRSF10
NR3C1	SRSF10
SPI1	NIPAL3
SREBF2	NIPAL3
CEBPB	NIPAL3
CREBBP	NIPAL3
RAD21	NIPAL3
CTCF	NIPAL3
SMC1A	NIPAL3
LDB1	NIPAL3
MAF	NIPAL3
SPI1	RCAN3
CEBPB	RCAN3
SMC1A	RCAN3
INTS13	RCAN3
ATF2	RCAN3
MAF	RCAN3
CTCF	RCAN3
RAD21	RCAN3
SPI1	SRRM1
SMC1A	SRRM1
RAD21	SRRM1
CTCF	SRRM1
MAF	SRRM1
CEBPB	SRRM1
SREBF2	SRRM1
INTS13	SRRM1
CREBBP	SRRM1
EGR1	SRRM1
ATF2	SRRM1
LDB1	SRRM1
SP140	SRRM1
SPI1	CLIC4
SREBF2	CLIC4
LDB1	CLIC4
SMC1A	CLIC4
MAF	CLIC4
CEBPB	CLIC4
CREBBP	CLIC4
ATF2	CLIC4
EGR1	CLIC4
INTS13	CLIC4
RAD21	CLIC4
CTCF	CLIC4
SPI1	RUNX3
SREBF2	RUNX3
INTS13	RUNX3
RAD21	RUNX3
CTCF	RUNX3
SMC1A	RUNX3
CEBPB	RUNX3
LDB1	RUNX3
SPI1	SYF2
CEBPB	SYF2
SREBF2	SYF2
LDB1	SYF2
SMC1A	SYF2
MAF	SYF2
RAD21	SYF2
CTCF	SYF2
EGR1	SYF2
ATF2	SYF2
SPI1	RSRP1
SMC1A	RSRP1
RAD21	RSRP1
CTCF	RSRP1
LDB1	RSRP1
SREBF2	RSRP1
INTS13	RSRP1
EGR1	RSRP1
ATF2	RSRP1
NR3C1	RSRP1
CREBBP	RSRP1
CEBPB	RSRP1
SREBF2	TMEM50A
SPI1	TMEM50A
SMC1A	TMEM50A
MAF	TMEM50A
CEBPB	TMEM50A
SPI1	MACO1
SREBF2	MACO1
CEBPB	MACO1
INTS13	MACO1
SMC1A	MACO1
SPI1	MAN1C1
SMC1A	MAN1C1
MAF	MAN1C1
CEBPB	MAN1C1
SP140	MAN1C1
RAD21	MAN1C1
CTCF	MAN1C1
SREBF2	MAN1C1
LDB1	MAN1C1
SMC1A	SELENON
SPI1	SELENON
RAD21	SELENON
CTCF	SELENON
MAF	SELENON
SREBF2	SELENON
RAD21	MTFR1L
CTCF	MTFR1L
SMC1A	MTFR1L
MAF	MTFR1L
CEBPB	MTFR1L
ATF2	MTFR1L
SREBF2	MTFR1L
SPI1	MTFR1L
CEBPB	STMN1
RAD21	STMN1
SMC1A	STMN1
SPI1	STMN1
CTCF	STMN1
LDB1	STMN1
SREBF2	STMN1
SP140	STMN1
SPI1	PAFAH2
SMC1A	PAFAH2
CEBPB	PAFAH2
SREBF2	PAFAH2
LDB1	PAFAH2
RAD21	PAFAH2
NR3C1	PAFAH2
CTCF	PAFAH2
SPI1	PDIK1L
CEBPB	PDIK1L
MAF	PDIK1L
SMC1A	PDIK1L
RAD21	PDIK1L
CTCF	PDIK1L
SREBF2	PDIK1L
INTS13	PDIK1L
SPI1	CEP85
SREBF2	CEP85
CTCF	CEP85
RAD21	CEP85
SMC1A	CEP85
LDB1	CEP85
EGR1	CEP85
ATF2	CEP85
CEBPB	CEP85
SPI1	SH3BGRL3
CEBPB	SH3BGRL3
SMC1A	SH3BGRL3
RAD21	SH3BGRL3
CTCF	SH3BGRL3
EGR1	SH3BGRL3
SREBF2	SH3BGRL3
CREBBP	SH3BGRL3
ATF2	SH3BGRL3
SPI1	UBXN11
SREBF2	UBXN11
CEBPB	UBXN11
ATF2	UBXN11
SMC1A	UBXN11
RAD21	UBXN11
CTCF	UBXN11
MAF	UBXN11
CEBPB	CD52
SPI1	CD52
SREBF2	DHDDS
SPI1	DHDDS
LDB1	DHDDS
INTS13	DHDDS
ATF2	DHDDS
CEBPB	DHDDS
SPI1	HMGN2
CTCF	HMGN2
CEBPB	HMGN2
INTS13	HMGN2
SREBF2	HMGN2
ATF2	HMGN2
SMC1A	HMGN2
RAD21	HMGN2
SPI1	RPS6KA1
CEBPB	RPS6KA1
SMC1A	RPS6KA1
MAF	RPS6KA1
SREBF2	RPS6KA1
RAD21	RPS6KA1
CTCF	RPS6KA1
NAB2	RPS6KA1
EGR1	RPS6KA1
ATF2	RPS6KA1
CREBBP	RPS6KA1
ATF2	ARID1A
SMC1A	ARID1A
SPI1	ARID1A
SREBF2	ARID1A
NAB2	ARID1A
RAD21	ARID1A
SP140	ARID1A
CEBPB	ARID1A
CEBPB	ZDHHC18
SMC1A	ZDHHC18
RAD21	ZDHHC18
SPI1	ZDHHC18
CTCF	ZDHHC18
SREBF2	ZDHHC18
GFP	ZDHHC18
LDB1	ZDHHC18
INTS13	ZDHHC18
RAD21	GPN2
CTCF	GPN2
SMC1A	GPN2
CEBPB	GPN2
LDB1	GPN2
SREBF2	GPN2
SPI1	GPN2
SREBF2	GPATCH3
YY1	GPATCH3
SP140	GPATCH3
EGR1	GPATCH3
INTS13	GPATCH3
LDB1	GPATCH3
CEBPB	GPATCH3
SPI1	GPATCH3
SREBF2	NUDC
